"ID","Description","p.adjust","Count"
"GO:0050678","regulation of epithelial cell proliferation",1.10802986255688e-07,83
"GO:0001666","response to hypoxia",1.10802986255688e-07,70
"GO:0042060","wound healing",1.43664619847011e-06,78
"GO:0048545","response to steroid hormone",1.49268419627991e-06,70
"GO:0009314","response to radiation",1.49268419627991e-06,85
"GO:1903706","regulation of hemopoiesis",1.49268419627991e-06,82
"GO:0036293","response to decreased oxygen levels",1.49268419627991e-06,71
"GO:0030856","regulation of epithelial cell differentiation",1.6522721801651e-06,43
"GO:0007292","female gamete generation",1.6522721801651e-06,45
"GO:0031960","response to corticosteroid",1.6522721801651e-06,43
"GO:0010721","negative regulation of cell development",1.76159862476654e-06,62
"GO:0051384","response to glucocorticoid",1.76159862476654e-06,40
"GO:1990845","adaptive thermogenesis",2.00145384266721e-06,42
"GO:0030198","extracellular matrix organization",2.00774677695481e-06,63
"GO:0045444","fat cell differentiation",2.00774677695481e-06,58
"GO:0045229","external encapsulating structure organization",2.03332664780631e-06,63
"GO:0043062","extracellular structure organization",2.16699673743991e-06,63
"GO:0008544","epidermis development",3.68139368301436e-06,75
"GO:0043588","skin development",3.99035709587327e-06,67
"GO:1902105","regulation of leukocyte differentiation",3.99035709587327e-06,68
"GO:0048608","reproductive structure development",4.60260537775471e-06,70
"GO:1901654","response to ketone",4.77627867635941e-06,56
"GO:0048511","rhythmic process",5.55285398323145e-06,66
"GO:0061458","reproductive system development",6.84232851963745e-06,70
"GO:2001233","regulation of apoptotic signaling pathway",6.84232851963745e-06,77
"GO:0072001","renal system development",9.65548844693197e-06,70
"GO:0003018","vascular process in circulatory system",1.07244065771757e-05,53
"GO:0001822","kidney development",1.11536104798015e-05,68
"GO:0120161","regulation of cold-induced thermogenesis",1.11536104798015e-05,36
"GO:0009410","response to xenobiotic stimulus",1.11536104798015e-05,82
"GO:0048880","sensory system development",1.30011246758422e-05,81
"GO:0150063","visual system development",1.385545188259e-05,80
"GO:0001654","eye development",1.9389992140799e-05,79
"GO:0060541","respiratory system development",2.08765220251792e-05,55
"GO:0043010","camera-type eye development",2.09077143264796e-05,72
"GO:0006022","aminoglycan metabolic process",2.09077143264796e-05,25
"GO:0050727","regulation of inflammatory response",2.09077143264796e-05,73
"GO:0106106","cold-induced thermogenesis",2.09077143264796e-05,36
"GO:0001659","temperature homeostasis",2.09077143264796e-05,43
"GO:0070482","response to oxygen levels",2.13490469306318e-05,74
"GO:0007517","muscle organ development",2.39743141394249e-05,67
"GO:0090287","regulation of cellular response to growth factor stimulus",3.09607161246629e-05,61
"GO:0002573","myeloid leukocyte differentiation",3.14855203479531e-05,54
"GO:0014706","striated muscle tissue development",3.34766027645124e-05,80
"GO:0015711","organic anion transport",3.34766027645124e-05,80
"GO:0030199","collagen fibril organization",3.34766027645124e-05,21
"GO:0061448","connective tissue development",4.20134169529365e-05,61
"GO:0045580","regulation of T cell differentiation",4.70471196837131e-05,41
"GO:1901136","carbohydrate derivative catabolic process",4.96033808025711e-05,52
"GO:0045137","development of primary sexual characteristics",5.00828395123016e-05,55
"GO:0035150","regulation of tube size",5.02032129910541e-05,42
"GO:0048477","oogenesis",5.18780890437287e-05,31
"GO:0006457","protein folding",5.75302024088872e-05,39
"GO:0007548","sex differentiation",8.33998649453826e-05,63
"GO:0001894","tissue homeostasis",8.5316512980241e-05,55
"GO:0060249","anatomical structure homeostasis",8.5316512980241e-05,55
"GO:0051174","regulation of phosphorus metabolic process",8.5316512980241e-05,69
"GO:0000280","nuclear division",8.5316512980241e-05,75
"GO:0030522","intracellular receptor signaling pathway",8.66840987057962e-05,73
"GO:0051402","neuron apoptotic process",8.7755845528395e-05,66
"GO:0043534","blood vessel endothelial cell migration",8.7755845528395e-05,31
"GO:0043409","negative regulation of MAPK cascade",8.7755845528395e-05,37
"GO:0030324","lung development",8.7755845528395e-05,48
"GO:0035296","regulation of tube diameter",9.10379522177231e-05,41
"GO:0097746","blood vessel diameter maintenance",9.10379522177231e-05,41
"GO:0001818","negative regulation of cytokine production",9.33167720145972e-05,58
"GO:0035567","non-canonical Wnt signaling pathway",9.33167720145972e-05,19
"GO:0007584","response to nutrient",9.33167720145972e-05,37
"GO:0045637","regulation of myeloid cell differentiation",9.43000032460016e-05,45
"GO:0009266","response to temperature stimulus",0.000103552690661481,38
"GO:0019220","regulation of phosphate metabolic process",0.000106702031488986,68
"GO:0060562","epithelial tube morphogenesis",0.000106702031488986,67
"GO:0030323","respiratory tube development",0.000106702031488986,48
"GO:0030217","T cell differentiation",0.000106702031488986,61
"GO:0043523","regulation of neuron apoptotic process",0.000111661508206284,58
"GO:0008406","gonad development",0.000111661508206284,53
"GO:0016055","Wnt signaling pathway",0.000111661508206284,76
"GO:0042310","vasoconstriction",0.000113455260343887,28
"GO:0030111","regulation of Wnt signaling pathway",0.000118553709441818,58
"GO:1902107","positive regulation of leukocyte differentiation",0.000127425851936471,43
"GO:1903708","positive regulation of hemopoiesis",0.000127425851936471,43
"GO:0009416","response to light stimulus",0.000127425851936471,60
"GO:0097305","response to alcohol",0.000151551285921557,59
"GO:0032496","response to lipopolysaccharide",0.000157539599211264,71
"GO:0060070","canonical Wnt signaling pathway",0.000157539599211264,55
"GO:0070661","leukocyte proliferation",0.000159140305869645,63
"GO:0019229","regulation of vasoconstriction",0.000165820397241081,24
"GO:2001236","regulation of extrinsic apoptotic signaling pathway",0.000167592547223193,37
"GO:0002040","sprouting angiogenesis",0.00016803046600792,32
"GO:0030203","glycosaminoglycan metabolic process",0.00016803046600792,20
"GO:0002237","response to molecule of bacterial origin",0.000177092223352181,73
"GO:0031589","cell-substrate adhesion",0.000177092223352181,63
"GO:0007162","negative regulation of cell adhesion",0.000177092223352181,56
"GO:0051445","regulation of meiotic cell cycle",0.000196053503534944,19
"GO:0022408","negative regulation of cell-cell adhesion",0.000211092897071474,42
"GO:0070372","regulation of ERK1 and ERK2 cascade",0.000227376692531199,55
"GO:0071695","anatomical structure maturation",0.000247659852420738,55
