"gene_id","SYMBOL","log2FC","pval","FDR"
"Hspa5","Hspa5",1.324,1.24e-62,1.84e-58
"Hyou1","Hyou1",0.723,2.37e-61,1.76e-57
"Pdia6","Pdia6",0.948,1.36e-60,5.07e-57
"Manf","Manf",0.996,1.36e-60,5.07e-57
"Sdf2l1","Sdf2l1",1.659,7.37e-60,2.19e-56
"Fmnl1","Fmnl1",0.888,4.29e-59,1.07e-55
"P4ha1","P4ha1",0.986,2.66e-58,5.66e-55
"Calr","Calr",0.826,8.37e-58,1.56e-54
"Lman2","Lman2",0.428,2.91e-57,4.82e-54
"Sgsm1","Sgsm1",1.083,2.6e-56,3.88e-53
"Dnajb5","Dnajb5",0.939,9.44e-56,1.28e-52
"Dnajb11","Dnajb11",0.678,1.16e-55,1.39e-52
"Xbp1","Xbp1",0.727,1.22e-55,1.39e-52
"Tmem151b","Tmem151b",0.593,7.36e-55,7.83e-52
"Pdia4","Pdia4",1.057,1.11e-54,1.1e-51
"Hsp90b1","Hsp90b1",0.727,1.23e-54,1.14e-51
"Trib1","Trib1",1.455,1.38e-54,1.21e-51
"Rundc1","Rundc1",0.45,2.25e-54,1.86e-51
"Tnfrsf25","Tnfrsf25",1.954,2.41e-54,1.89e-51
"Pdp1","Pdp1",0.837,4.2e-54,3.13e-51
"Cirbp","Cirbp",-1.278,5.17e-54,3.67e-51
"Creld2","Creld2",1.004,6.14e-54,4.15e-51
"Arc","Arc",2.918,7.73e-54,5.01e-51
"Plekhg4","Plekhg4",2.109,8.48e-54,5.27e-51
"Hsph1","Hsph1",0.832,1.87e-53,1.11e-50
"Samd4b","Samd4b",0.57,2.64e-53,1.51e-50
"Ccdc41os1","Ccdc41os1",-0.625,2.74e-53,1.51e-50
"Mlec","Mlec",0.536,3.79e-53,2.02e-50
"Zfyve28","Zfyve28",-0.554,5.04e-53,2.59e-50
"Egr3","Egr3",1.527,5.68e-53,2.82e-50
